TravelDate,DayOfWeek,Station,EntryTapCount,ExitTapCount
20240102,Tuesday,Ealing Broadway,16248,17303
20240102,Tuesday,Ealing Common,2172,2245
20240102,Tuesday,Earls Court,19120,19484
20240102,Tuesday,East Acton,3332,3430
20240102,Tuesday,East Finchley,5761,5720
20240102,Tuesday,East Ham,13113,12855
20240102,Tuesday,East India,2598,2361
20240102,Tuesday,East Putney,5916,6521
20240102,Tuesday,Eastcote,2445,2352
20240102,Tuesday,Edgware,5058,5199
20240102,Tuesday,Edgware Road B,3794,3880
20240102,Tuesday,Edgware Road C&H,6688,6508
20240102,Tuesday,Edmonton Green,3735,3666
20240102,Tuesday,Elephant & Castle,13994,13042
20240102,Tuesday,Elm Park,3390,3617
20240102,Tuesday,Elverson Road,775,339
20240102,Tuesday,Embankment,22416,20593
20240102,Tuesday,Emerson Park,258,115
20240102,Tuesday,Enfield Town,2583,2496
20240102,Tuesday,Epping,4100,4136
20240102,Tuesday,Euston,35780,33836
20240102,Tuesday,Euston NR,6202,8249
20240102,Tuesday,Euston Square,10764,11309
20240102,Tuesday,Fairlop,983,981
20240102,Tuesday,Farringdon,38969,38462
20240102,Tuesday,Finchley Central,4747,4838
20240102,Tuesday,Finchley Road,7585,7488
20240102,Tuesday,Finchley Road & Frognal,1398,1338
20240102,Tuesday,Finsbury Park,21035,19141
20240102,Tuesday,Forest Gate,5823,5376
20240102,Tuesday,Forest Hill,4150,4272
20240102,Tuesday,Fulham Broadway,7639,7430
20240102,Tuesday,Gallions Reach,1407,1347
20240102,Tuesday,Gants Hill,5609,5580
20240102,Tuesday,Gidea Park,3782,3412
20240102,Tuesday,Gloucester Road,13318,12174
20240102,Tuesday,Golders Green,6853,7143
20240102,Tuesday,Goldhawk Road,1919,1937
20240102,Tuesday,Goodge Street,5117,5252
20240102,Tuesday,Goodmayes,4684,4453
20240102,Tuesday,Gospel Oak,1827,1953
20240102,Tuesday,Grange Hill,408,371
20240102,Tuesday,Great Portland Street,5446,5355
20240102,Tuesday,Green Park,30681,34040
20240102,Tuesday,Greenford,3629,3873
20240102,Tuesday,Greenwich,3322,2487
20240102,Tuesday,Gunnersbury,3259,3171
20240102,Tuesday,Hackney Central,4752,4388
20240102,Tuesday,Hackney Downs,2310,2262
20240102,Tuesday,Hackney Wick,2484,4486
20240102,Tuesday,Haggerston,2691,2511
20240102,Tuesday,Hainault,3330,3248
20240102,Tuesday,Hammersmith C&H,9736,9816
20240102,Tuesday,Hammersmith D&P,22258,22399
20240102,Tuesday,Hampstead,3344,3769
20240102,Tuesday,Hampstead Heath,2881,3017
20240102,Tuesday,Hanger Lane,2802,2876
20240102,Tuesday,Hanwell,1541,1051
20240102,Tuesday,Harlesden,2676,2591
20240102,Tuesday,Harold Wood,3854,3455
20240102,Tuesday,Harringay Green Lanes,631,665
20240102,Tuesday,Harrow & Wealdstone,3931,3421
20240102,Tuesday,Harrow-on-the-Hill,9141,9677
20240102,Tuesday,Hatch End,585,618
20240102,Tuesday,Hatton Cross,3822,4599
20240102,Tuesday,Hayes & Harlington,7342,6573
20240102,Tuesday,Headstone Lane,500,367
20240102,Tuesday,Heathrow T2&3 TfL Rail/HEx,7783,6554
20240102,Tuesday,Heathrow T4 TfL Rail/HEx,1985,1342
20240102,Tuesday,Heathrow T5 TfL Rail/HEx,4009,3839
20240102,Tuesday,Heathrow Terminal 4,2934,3028
20240102,Tuesday,Heathrow Terminal 5,7983,7341
20240102,Tuesday,Heathrow Terminals 2&3,11314,10495
20240102,Tuesday,Hendon Central,5205,5076
20240102,Tuesday,Heron Quays,2955,3630
20240102,Tuesday,High Barnet,3423,3425
20240102,Tuesday,High Street Kensington,10889,11172
20240102,Tuesday,Highams Park,2988,2775
20240102,Tuesday,Highbury & Islington,12264,13622
