Date,NO_weighted_value(ug m-3)
2021-02-12,19.029037101396646
2021-02-13,9.48798925896353
2021-02-14,7.975062887188503
2021-02-15,18.3
2021-02-16,6.308212637167738
2021-02-17,6.546294643103538
2021-02-18,2.0635765842126617
2021-02-19,15.1
2021-02-20,8.659543518838161
2021-02-21,3.2
2021-02-22,0.0
2021-02-23,4.790970492840896
2021-02-24,13.0
2021-02-25,17.000540745571605
2021-02-26,44.0088628872619
2021-02-27,42.96232724206092
2021-02-28,8.516503158208572
2021-03-01,24.76649339701199
2021-03-02,43.76603627902881
2021-03-03,40.17123287038942
2021-03-04,6.3312005684766905
2021-03-05,22.725848247574785
2021-03-06,16.75319256507186
2021-03-07,23.85498898749815
2021-03-08,28.62383673516987
2021-03-09,10.34718178393339
2021-03-10,4.250321643715562
2021-03-11,0.0
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,0.0
2021-03-15,13.8
2021-03-16,16.990053365860188
2021-03-17,28.658968473699254
2021-03-18,20.6775453727064
2021-03-19,23.424673859429205
2021-03-20,23.023769155273065
2021-03-21,7.006293120741081
2021-03-22,12.193558021405712
2021-03-23,15.264757500702379
2021-03-24,14.382624473679705
2021-03-25,10.150579266282367
2021-03-26,0.0
2021-03-27,0.0
2021-03-28,1.268987182410758
2021-03-29,9.06012564078419
2021-03-30,61.75066037669455
2021-03-31,74.3344901416007
2021-04-01,34.7
2021-04-02,10.16875944414332
2021-04-03,8.342943939797138
2021-04-04,8.995263121842495
2021-04-05,15.5
2021-04-06,20.32822261695856
2021-04-07,36.2
2021-04-08,3.5
2021-04-09,14.3
2021-04-10,7.260257982559536
2021-04-11,4.3
2021-04-12,16.722708095858646
2021-04-13,0.0
2021-04-14,28.423066709278952
2021-04-15,22.414466834723772
2021-04-16,15.841269077786126
2021-04-17,10.656513349751627
2021-04-18,15.898021940336049
2021-04-19,35.157343295648516
2021-04-20,45.248619192480014
2021-04-21,22.475894190803743
2021-04-22,20.565734634835852
2021-04-23,34.83454591273857
2021-04-24,15.27597617926484
2021-04-25,2.303943329546886
2021-04-26,16.049159539986576
2021-04-27,27.027443367220172
2021-04-28,27.0
2021-04-29,22.988714737363555
2021-04-30,26.245261046385355
2021-05-01,16.457353029729546
2021-05-02,4.528073056073729
2021-05-03,0.0
2021-05-04,10.272534293493942
2021-05-05,9.749871813538743
2021-05-06,15.170948167112218
2021-05-07,10.5617255389285
2021-05-08,0.0
2021-05-09,8.661660772294411
2021-05-10,4.760164207986919
2021-05-11,12.939781488980024
2021-05-12,3.2939707799164735
2021-05-13,32.14386150939568
2021-05-14,28.426299369579148
2021-05-15,16.21152692688504
2021-05-16,0.0
2021-05-17,8.788592801295005
2021-05-18,0.0
2021-05-19,1.7204948876873103
2021-05-20,0.0
